2025-11-20 12:52:26,461 | __main__ | INFO | Command: train
2025-11-20 12:52:26,462 | __main__ | INFO | Using config: config/settings.yaml
2025-11-20 12:52:26,463 | __main__ | INFO | Starting training workflow...
2025-11-20 12:52:26,463 | workflows.training_workflow | INFO | ================================================================================
2025-11-20 12:52:26,464 | workflows.training_workflow | INFO | TRAINING BPJS FRAUD DETECTION MODELS
2025-11-20 12:52:26,465 | workflows.training_workflow | INFO | ================================================================================
2025-11-20 12:52:26,465 | workflows.training_workflow | INFO | 📂 Loading training data from: bpjs_train_small.csv
2025-11-20 12:52:26,714 | workflows.training_workflow | INFO |    ✅ Rows: 7,500
2025-11-20 12:52:26,717 | workflows.training_workflow | INFO |    ✅ Fraud rate: 5.44%
2025-11-20 12:52:26,718 | workflows.training_workflow | INFO | 🎯 Training Stage 1 (binary)...
2025-11-20 12:53:15,938 | workflows.training_workflow | INFO | 🎯 Training Stage 2 (multiclass)...
2025-11-20 12:53:28,078 | workflows.training_workflow | INFO | 💾 Saving models to: ./model_artifacts
